date,strategy,portfolio_value,cash,positions_value,return_pct,num_positions,spy_return_pct,qqq_return_pct
2026-06-09,Momentum_AI,10000.0,1000.0,9000.0,0.0,9,,
2026-06-09,Quality_Momentum_AI,10000.0,0.0,10000.0,0.0,10,,
2026-06-09,Aggressive_AI,10000.0,1000.0,9000.0,0.0,9,,
2026-06-09,Low_Risk_AI,10000.0,5000.0,5000.0,0.0,5,,
2026-06-09,Balanced_AI,10000.0,0.0,10000.0,0.0,10,,
2026-06-09,SPY,10000.0,0.0,10000.0,0.0,1,,
2026-06-09,QQQ,10000.0,0.0,10000.0,0.0,1,,
2026-06-09,Momentum_AI,9871.9,1000.0,8871.9,-1.28,9,,
2026-06-09,Quality_Momentum_AI,9832.59,0.0,9832.59,-1.67,10,,
2026-06-09,Aggressive_AI,9871.9,1000.0,8871.9,-1.28,9,,
2026-06-09,Low_Risk_AI,9974.81,5000.0,4974.81,-0.25,5,,
2026-06-09,Balanced_AI,9832.59,0.0,9832.59,-1.67,10,,
2026-06-09,SPY,10008.25,0.0,10008.25,0.08,1,,
2026-06-09,QQQ,9977.52,0.0,9977.52,-0.22,1,,
2026-06-09,,9995.5,5498.9,4496.6,-0.04,4,,
